Full Name,Gender,Enrollment Status,Program of Study / Major,Enrollment Date,Graduation Date,County,University Enrolled
Lucy Achieng,Female,Not Enrolled,Education,2021-06-27,,Meru,Kenyatta University
Peter Nyambura,Male,Withdrawn,Psychology,2019-11-07,,Meru,Egerton University
Elizabeth Wambui,Female,Enrolled,Education,2021-09-28,2022-09-28,Mombasa,University of Nairobi
Jane Mwangi,Female,Not Enrolled,Psychology,2018-08-23,,Nairobi,Egerton University
James Achieng,Male,Withdrawn,Nursing,2019-10-21,,Nairobi,Kenyatta University
Alice Njeri,Female,Not Enrolled,Psychology,2019-07-25,,Nakuru,University of Nairobi
Elizabeth Nyambura,Female,Enrolled,Business Administration,2018-07-03,2019-07-03,Nairobi,Egerton University
Wangari Nyambura,Female,Withdrawn,Business Administration,2024-11-08,,Kiambu,Moi University
Mary Otieno,Female,Not Enrolled,Computer Science,2021-03-11,,Nairobi,Egerton University
Mary Wambui,Female,Withdrawn,Business Administration,2024-07-17,,Meru,Moi University
Peter Mwangi,Male,Not Enrolled,Mechanical Engineering,2024-11-18,,Kiambu,University of Nairobi
Mary Nyambura,Female,Not Enrolled,Psychology,2021-12-01,,Mombasa,Moi University
Mary Njeri,Female,Enrolled,Business Administration,2022-05-24,2026-05-23,Machakos,Egerton University
Lucy Otieno,Female,Withdrawn,Business Administration,2022-09-07,,Machakos,University of Nairobi
Richard Nyambura,Male,Withdrawn,Psychology,2022-12-23,,Machakos,University of Nairobi
Emily Njeri,Female,Enrolled,Psychology,2018-07-10,2023-07-09,Meru,Egerton University
David Karanja,Male,Enrolled,Education,2020-08-26,2023-08-26,Kiambu,University of Nairobi
Joseph Wambui,Male,Enrolled,Computer Science,2019-05-30,2021-05-29,Kiambu,JKUAT
Michael Nyambura,Male,Withdrawn,Computer Science,2019-08-06,,Nyeri,Moi University
David Odhiambo,Male,Enrolled,Business Administration,2024-04-02,2025-04-02,Kiambu,Moi University
Lucy Otieno,Female,Enrolled,Nursing,2022-12-15,2023-12-15,Meru,JKUAT
James Odhiambo,Male,Withdrawn,Mechanical Engineering,2020-05-10,,Nyeri,Egerton University
James Mwangi,Male,Not Enrolled,Psychology,2021-12-14,,Nakuru,Kenyatta University
Esther Karanja,Female,Withdrawn,Business Administration,2019-05-29,,Nakuru,JKUAT
Mary Njeri,Female,Withdrawn,Computer Science,2018-06-12,,Nairobi,University of Nairobi
Joseph Karanja,Male,Not Enrolled,Mechanical Engineering,2019-03-10,,Nakuru,Kenyatta University
Michael Wambui,Male,Withdrawn,Psychology,2019-02-26,,Meru,University of Nairobi
Richard Kariuki,Male,Enrolled,Mechanical Engineering,2018-12-25,2023-12-24,Nyeri,Moi University
Peter Kariuki,Male,Withdrawn,Education,2018-03-26,,Nairobi,University of Nairobi
Mary Nyambura,Female,Not Enrolled,Psychology,2023-08-07,,Kisumu,Egerton University
Jane Mwangi,Female,Not Enrolled,Psychology,2023-08-02,,Kisumu,Moi University
Luke Njeri,Male,Enrolled,Computer Science,2020-05-08,2026-05-07,Meru,JKUAT
David Nyambura,Male,Enrolled,Mechanical Engineering,2018-01-10,2023-01-09,Mombasa,Egerton University
Daniel Achieng,Male,Withdrawn,Nursing,2023-06-30,,Kiambu,University of Nairobi
Mary Nyambura,Female,Withdrawn,Computer Science,2023-01-25,,Kisumu,Kenyatta University
John Nyambura,Male,Withdrawn,Business Administration,2020-03-21,,Kiambu,JKUAT
Richard Otieno,Male,Enrolled,Education,2018-07-05,2024-07-03,Nakuru,Moi University
Emily Kariuki,Female,Withdrawn,Law,2018-12-31,,Kisumu,Egerton University
Joseph Odhiambo,Male,Not Enrolled,Mechanical Engineering,2018-11-29,,Mombasa,Kenyatta University
Michael Nyambura,Male,Enrolled,Mechanical Engineering,2022-10-18,2028-10-16,Machakos,JKUAT
Peter Otieno,Male,Withdrawn,Psychology,2018-01-07,,Nairobi,Moi University
Joseph Karanja,Male,Withdrawn,Psychology,2022-03-13,,Mombasa,Egerton University
Richard Odhiambo,Male,Not Enrolled,Nursing,2018-08-23,,Meru,Kenyatta University
Samuel Otieno,Male,Enrolled,Law,2024-01-07,2030-01-05,Nairobi,Kenyatta University
Daniel Otieno,Male,Withdrawn,Law,2020-12-22,,Kiambu,Egerton University
Daniel Mwangi,Male,Not Enrolled,Psychology,2019-10-02,,Nakuru,Kenyatta University
Joseph Odhiambo,Male,Enrolled,Law,2022-10-25,2024-10-24,Machakos,University of Nairobi
Wangari Achieng,Female,Enrolled,Psychology,2018-02-25,2024-02-24,Nairobi,Kenyatta University
Sarah Karanja,Female,Enrolled,Computer Science,2018-09-13,2023-09-12,Machakos,JKUAT
Luke Nyambura,Male,Enrolled,Nursing,2023-09-29,2026-09-28,Nyeri,Egerton University
Richard Karanja,Male,Not Enrolled,Law,2023-06-17,,Nairobi,JKUAT
Esther Nyambura,Female,Withdrawn,Business Administration,2022-11-19,,Mombasa,Moi University
Alice Achieng,Female,Enrolled,Mechanical Engineering,2018-02-08,2023-02-07,Kiambu,Egerton University
Esther Njeri,Female,Withdrawn,Nursing,2022-03-24,,Nairobi,JKUAT
Peter Njeri,Male,Not Enrolled,Law,2023-03-18,,Meru,Moi University
Peter Mwangi,Male,Withdrawn,Psychology,2018-06-15,,Machakos,Moi University
Mary Odhiambo,Female,Enrolled,Education,2024-04-27,2027-04-27,Nairobi,University of Nairobi
Esther Karanja,Female,Not Enrolled,Mechanical Engineering,2020-04-26,,Meru,Egerton University
Wangari Wambui,Female,Withdrawn,Psychology,2021-12-20,,Mombasa,Kenyatta University
Esther Karanja,Female,Not Enrolled,Education,2022-06-06,,Kiambu,University of Nairobi
Emily Odhiambo,Female,Enrolled,Psychology,2020-05-14,2021-05-14,Kiambu,JKUAT
John Karanja,Male,Enrolled,Nursing,2022-04-18,2025-04-17,Mombasa,University of Nairobi
Esther Mwangi,Female,Withdrawn,Psychology,2019-06-14,,Nairobi,JKUAT
Michael Kariuki,Male,Not Enrolled,Business Administration,2022-09-16,,Kiambu,Egerton University
David Achieng,Male,Enrolled,Psychology,2019-05-13,2023-05-12,Kiambu,University of Nairobi
Michael Njeri,Male,Enrolled,Computer Science,2023-04-10,2025-04-09,Nairobi,Egerton University
Richard Wambui,Male,Not Enrolled,Education,2021-04-09,,Kisumu,Egerton University
Daniel Odhiambo,Male,Not Enrolled,Business Administration,2020-10-21,,Mombasa,JKUAT
Michael Odhiambo,Male,Withdrawn,Law,2019-01-25,,Nairobi,Egerton University
Daniel Odhiambo,Male,Not Enrolled,Psychology,2024-10-14,,Nyeri,JKUAT
Alice Odhiambo,Female,Not Enrolled,Mechanical Engineering,2021-06-24,,Nyeri,Egerton University
John Njeri,Male,Enrolled,Computer Science,2022-08-23,2026-08-22,Nakuru,University of Nairobi
John Kariuki,Male,Enrolled,Education,2019-08-05,2020-08-04,Kisumu,Egerton University
Emily Otieno,Female,Enrolled,Business Administration,2022-08-07,2025-08-06,Mombasa,JKUAT
John Otieno,Male,Enrolled,Law,2024-09-29,2026-09-29,Meru,University of Nairobi
Richard Kariuki,Male,Not Enrolled,Psychology,2021-02-22,,Kisumu,Egerton University
David Nyambura,Male,Not Enrolled,Computer Science,2023-09-01,,Meru,Egerton University
Elizabeth Nyambura,Female,Enrolled,Education,2019-06-17,2020-06-16,Nakuru,University of Nairobi
Esther Otieno,Female,Enrolled,Psychology,2018-05-31,2024-05-29,Mombasa,JKUAT
Emily Nyambura,Female,Enrolled,Computer Science,2021-03-21,2022-03-21,Machakos,University of Nairobi
Wangari Kariuki,Female,Enrolled,Law,2023-11-10,2029-11-08,Mombasa,University of Nairobi
Lucy Kariuki,Female,Not Enrolled,Psychology,2019-01-17,,Nyeri,Moi University
Lucy Karanja,Female,Enrolled,Mechanical Engineering,2021-09-04,2027-09-03,Machakos,Egerton University
David Nyambura,Male,Enrolled,Nursing,2023-07-22,2029-07-20,Nyeri,University of Nairobi
Richard Nyambura,Male,Withdrawn,Psychology,2023-06-01,,Nairobi,JKUAT
Samuel Mwangi,Male,Withdrawn,Education,2019-10-03,,Kiambu,Egerton University
Daniel Karanja,Male,Enrolled,Mechanical Engineering,2023-02-14,2025-02-13,Meru,University of Nairobi
Sarah Achieng,Female,Withdrawn,Computer Science,2022-03-20,,Mombasa,Egerton University
Lucy Odhiambo,Female,Not Enrolled,Law,2020-12-01,,Kisumu,JKUAT
Lucy Otieno,Female,Withdrawn,Law,2023-04-29,,Machakos,Moi University
Sarah Achieng,Female,Withdrawn,Computer Science,2024-03-11,,Mombasa,Egerton University
David Otieno,Male,Not Enrolled,Computer Science,2019-04-07,,Nairobi,Kenyatta University
Mary Odhiambo,Female,Withdrawn,Computer Science,2024-12-03,,Nairobi,Moi University
Sarah Mwangi,Female,Withdrawn,Nursing,2018-11-05,,Kiambu,JKUAT
Mary Odhiambo,Female,Enrolled,Mechanical Engineering,2020-06-04,2024-06-03,Nyeri,JKUAT
Sarah Mwangi,Female,Not Enrolled,Business Administration,2019-02-04,,Machakos,JKUAT
Grace Karanja,Female,Withdrawn,Computer Science,2024-05-25,,Meru,JKUAT
Alice Mwangi,Female,Enrolled,Law,2019-10-29,2020-10-28,Nyeri,Kenyatta University
David Kariuki,Male,Enrolled,Computer Science,2022-10-19,2028-10-17,Meru,JKUAT
Elizabeth Otieno,Female,Withdrawn,Nursing,2023-09-12,,Meru,Egerton University
Samuel Wambui,Male,Withdrawn,Education,2018-09-15,,Mombasa,JKUAT
Lucy Odhiambo,Female,Not Enrolled,Education,2019-01-23,,Nakuru,JKUAT
Joseph Odhiambo,Male,Enrolled,Law,2022-01-14,2025-01-13,Nakuru,Egerton University
Lucy Wambui,Female,Not Enrolled,Education,2022-04-23,,Machakos,Egerton University
John Wambui,Male,Not Enrolled,Mechanical Engineering,2022-01-03,,Kisumu,University of Nairobi
Daniel Nyambura,Male,Not Enrolled,Nursing,2024-11-18,,Nairobi,Moi University
Peter Achieng,Male,Enrolled,Mechanical Engineering,2020-04-11,2021-04-11,Mombasa,Egerton University
Joseph Odhiambo,Male,Enrolled,Education,2020-10-21,2024-10-20,Machakos,Kenyatta University
Samuel Kariuki,Male,Not Enrolled,Business Administration,2022-11-08,,Nairobi,Moi University
Alice Otieno,Female,Not Enrolled,Computer Science,2019-08-30,,Kisumu,Kenyatta University
Samuel Odhiambo,Male,Withdrawn,Law,2024-09-09,,Nyeri,Kenyatta University
John Wambui,Male,Not Enrolled,Psychology,2023-12-01,,Kiambu,Kenyatta University
Peter Odhiambo,Male,Not Enrolled,Psychology,2018-02-16,,Mombasa,University of Nairobi
Alice Njeri,Female,Withdrawn,Nursing,2021-08-12,,Kisumu,JKUAT
Richard Karanja,Male,Not Enrolled,Mechanical Engineering,2018-02-13,,Mombasa,Egerton University
Lucy Mwangi,Female,Not Enrolled,Psychology,2022-07-20,,Meru,University of Nairobi
John Njeri,Male,Not Enrolled,Business Administration,2022-05-07,,Kiambu,Moi University
Grace Mwangi,Female,Not Enrolled,Psychology,2024-03-24,,Nyeri,Moi University
Alice Njeri,Female,Enrolled,Psychology,2024-02-01,2025-01-31,Kisumu,University of Nairobi
Joseph Karanja,Male,Withdrawn,Nursing,2018-04-24,,Machakos,JKUAT
Esther Karanja,Female,Enrolled,Psychology,2019-07-02,2021-07-01,Mombasa,Kenyatta University
David Karanja,Male,Enrolled,Mechanical Engineering,2024-07-11,2027-07-11,Meru,Moi University
Luke Karanja,Male,Not Enrolled,Computer Science,2020-01-08,,Kisumu,JKUAT
Luke Otieno,Male,Not Enrolled,Business Administration,2024-09-29,,Meru,JKUAT
Sarah Achieng,Female,Not Enrolled,Nursing,2020-02-21,,Nairobi,University of Nairobi
Lucy Achieng,Female,Not Enrolled,Psychology,2019-10-19,,Mombasa,Moi University
Richard Odhiambo,Male,Not Enrolled,Psychology,2022-12-26,,Nakuru,Kenyatta University
Emily Achieng,Female,Not Enrolled,Computer Science,2019-05-23,,Nakuru,Moi University
Richard Odhiambo,Male,Not Enrolled,Law,2019-06-25,,Nairobi,Kenyatta University
Daniel Mwangi,Male,Withdrawn,Nursing,2019-10-08,,Nairobi,JKUAT
Luke Wambui,Male,Withdrawn,Mechanical Engineering,2022-11-29,,Mombasa,JKUAT
Joseph Odhiambo,Male,Enrolled,Mechanical Engineering,2024-05-28,2025-05-28,Nakuru,Kenyatta University
Daniel Otieno,Male,Enrolled,Business Administration,2020-09-26,2026-09-25,Machakos,Egerton University
Elizabeth Kariuki,Female,Not Enrolled,Nursing,2018-07-01,,Kisumu,JKUAT
Wangari Nyambura,Female,Withdrawn,Psychology,2018-07-02,,Machakos,University of Nairobi
James Wambui,Male,Not Enrolled,Business Administration,2024-01-07,,Machakos,Egerton University
Wangari Odhiambo,Female,Withdrawn,Education,2021-09-30,,Nairobi,JKUAT
Alice Njeri,Female,Enrolled,Business Administration,2018-12-22,2022-12-21,Mombasa,Moi University
Jane Nyambura,Female,Withdrawn,Psychology,2019-05-18,,Machakos,Moi University
Samuel Karanja,Male,Enrolled,Education,2019-07-06,2020-07-05,Kiambu,Kenyatta University
Mary Wambui,Female,Not Enrolled,Nursing,2018-04-19,,Meru,JKUAT
Wangari Nyambura,Female,Withdrawn,Law,2023-10-14,,Machakos,Moi University
Grace Mwangi,Female,Enrolled,Mechanical Engineering,2024-05-25,2026-05-25,Meru,JKUAT
Joseph Achieng,Male,Not Enrolled,Education,2023-10-06,,Machakos,Kenyatta University
Emily Nyambura,Female,Not Enrolled,Business Administration,2020-08-28,,Meru,Moi University
Grace Mwangi,Female,Enrolled,Business Administration,2018-12-31,2024-12-29,Kiambu,Kenyatta University
Daniel Odhiambo,Male,Withdrawn,Mechanical Engineering,2021-09-19,,Meru,Kenyatta University
Michael Otieno,Male,Enrolled,Law,2018-01-24,2021-01-23,Nakuru,Egerton University
Daniel Nyambura,Male,Enrolled,Psychology,2019-10-01,2022-09-30,Machakos,JKUAT
Esther Wambui,Female,Not Enrolled,Mechanical Engineering,2018-11-04,,Kiambu,University of Nairobi
Samuel Wambui,Male,Withdrawn,Education,2024-07-23,,Machakos,JKUAT
Elizabeth Karanja,Female,Enrolled,Mechanical Engineering,2022-10-18,2025-10-17,Kiambu,Kenyatta University
Jane Njeri,Female,Not Enrolled,Education,2021-12-24,,Machakos,Moi University
David Karanja,Male,Withdrawn,Mechanical Engineering,2024-04-13,,Nakuru,Moi University
Alice Nyambura,Female,Not Enrolled,Psychology,2018-05-31,,Nyeri,Egerton University
Richard Wambui,Male,Not Enrolled,Education,2021-09-03,,Mombasa,University of Nairobi
Richard Njeri,Male,Withdrawn,Nursing,2024-09-02,,Kisumu,JKUAT
Lucy Njeri,Female,Not Enrolled,Nursing,2021-11-28,,Machakos,University of Nairobi
James Achieng,Male,Not Enrolled,Computer Science,2021-08-01,,Mombasa,University of Nairobi
James Otieno,Male,Not Enrolled,Nursing,2023-09-29,,Kiambu,Egerton University
Richard Otieno,Male,Withdrawn,Law,2019-04-21,,Nairobi,JKUAT
Richard Wambui,Male,Enrolled,Law,2019-06-21,2021-06-20,Machakos,University of Nairobi
James Odhiambo,Male,Not Enrolled,Education,2022-08-21,,Meru,Egerton University
Luke Njeri,Male,Enrolled,Mechanical Engineering,2023-09-09,2029-09-07,Kisumu,JKUAT
Michael Njeri,Male,Not Enrolled,Business Administration,2022-08-21,,Nakuru,JKUAT
James Otieno,Male,Withdrawn,Law,2020-11-16,,Nyeri,Kenyatta University
Michael Kariuki,Male,Not Enrolled,Mechanical Engineering,2022-12-27,,Nyeri,Egerton University
Mary Njeri,Female,Enrolled,Computer Science,2018-05-16,2021-05-15,Nairobi,Kenyatta University
Elizabeth Achieng,Female,Withdrawn,Business Administration,2022-12-11,,Kisumu,JKUAT
Lucy Njeri,Female,Withdrawn,Nursing,2019-03-15,,Machakos,JKUAT
James Karanja,Male,Withdrawn,Business Administration,2020-06-12,,Nairobi,Egerton University
Michael Njeri,Male,Enrolled,Business Administration,2024-03-16,2028-03-15,Nyeri,Moi University
Michael Mwangi,Male,Withdrawn,Law,2020-07-14,,Kisumu,Kenyatta University
Esther Nyambura,Female,Not Enrolled,Computer Science,2021-08-05,,Nyeri,Moi University
Grace Kariuki,Female,Withdrawn,Law,2018-06-17,,Kiambu,Moi University
James Mwangi,Male,Enrolled,Computer Science,2018-06-16,2019-06-16,Nyeri,University of Nairobi
Lucy Kariuki,Female,Withdrawn,Psychology,2021-02-27,,Kiambu,Kenyatta University
Samuel Nyambura,Male,Withdrawn,Education,2023-11-28,,Nyeri,Moi University
John Odhiambo,Male,Not Enrolled,Nursing,2024-08-25,,Nyeri,Moi University
John Otieno,Male,Enrolled,Psychology,2021-10-19,2026-10-18,Nyeri,JKUAT
Esther Njeri,Female,Not Enrolled,Law,2019-05-06,,Machakos,Egerton University
Grace Nyambura,Female,Enrolled,Education,2019-01-08,2022-01-07,Kiambu,University of Nairobi
Peter Njeri,Male,Withdrawn,Mechanical Engineering,2024-03-05,,Machakos,Egerton University
Alice Kariuki,Female,Enrolled,Business Administration,2021-08-30,2025-08-29,Machakos,Moi University
Sarah Wambui,Female,Enrolled,Business Administration,2019-11-10,2024-11-08,Nairobi,Moi University
Joseph Odhiambo,Male,Enrolled,Law,2018-05-17,2019-05-17,Nyeri,Egerton University
Daniel Karanja,Male,Not Enrolled,Computer Science,2023-10-17,,Meru,Moi University
Grace Odhiambo,Female,Withdrawn,Psychology,2023-06-15,,Nyeri,University of Nairobi
Richard Mwangi,Male,Withdrawn,Business Administration,2019-06-12,,Machakos,Moi University
Mary Achieng,Female,Enrolled,Computer Science,2020-07-04,2021-07-04,Machakos,JKUAT
Jane Wambui,Female,Withdrawn,Nursing,2020-04-22,,Kiambu,JKUAT
Elizabeth Nyambura,Female,Enrolled,Business Administration,2023-02-22,2028-02-21,Nyeri,University of Nairobi
Richard Odhiambo,Male,Enrolled,Psychology,2019-01-29,2023-01-28,Kiambu,Kenyatta University
Luke Nyambura,Male,Not Enrolled,Psychology,2023-06-21,,Nyeri,Moi University
Mary Karanja,Female,Enrolled,Law,2023-11-22,2029-11-20,Nakuru,JKUAT
Jane Nyambura,Female,Withdrawn,Education,2020-02-19,,Nairobi,Moi University
Mary Wambui,Female,Not Enrolled,Law,2019-09-29,,Mombasa,Moi University
Joseph Achieng,Male,Not Enrolled,Business Administration,2022-09-28,,Nairobi,Moi University
Samuel Wambui,Male,Not Enrolled,Business Administration,2020-12-02,,Machakos,University of Nairobi
Sarah Njeri,Female,Withdrawn,Nursing,2023-01-20,,Nyeri,Kenyatta University
Luke Wambui,Male,Not Enrolled,Computer Science,2023-06-19,,Nakuru,Kenyatta University
Richard Mwangi,Male,Not Enrolled,Computer Science,2022-10-31,,Mombasa,Kenyatta University
Samuel Achieng,Male,Not Enrolled,Psychology,2021-02-21,,Meru,Kenyatta University
James Odhiambo,Male,Withdrawn,Education,2020-10-11,,Machakos,University of Nairobi
Samuel Achieng,Male,Not Enrolled,Education,2024-07-26,,Nyeri,JKUAT
Wangari Otieno,Female,Not Enrolled,Business Administration,2022-10-11,,Mombasa,University of Nairobi
Alice Wambui,Female,Enrolled,Nursing,2024-05-11,2027-05-11,Mombasa,Moi University
Sarah Kariuki,Female,Not Enrolled,Psychology,2021-02-14,,Kisumu,Moi University
Sarah Achieng,Female,Enrolled,Business Administration,2022-02-01,2027-01-31,Mombasa,University of Nairobi
Alice Kariuki,Female,Not Enrolled,Education,2021-08-22,,Machakos,Egerton University
James Achieng,Male,Enrolled,Mechanical Engineering,2022-01-09,2025-01-08,Nairobi,University of Nairobi
Richard Mwangi,Male,Enrolled,Mechanical Engineering,2021-12-15,2022-12-15,Nairobi,Egerton University
Jane Karanja,Female,Withdrawn,Business Administration,2018-03-31,,Nyeri,Moi University
Samuel Wambui,Male,Enrolled,Psychology,2022-01-03,2027-01-02,Kiambu,University of Nairobi
Lucy Njeri,Female,Not Enrolled,Law,2021-01-01,,Nairobi,Egerton University
Sarah Nyambura,Female,Not Enrolled,Computer Science,2023-03-27,,Meru,JKUAT
James Mwangi,Male,Enrolled,Business Administration,2022-10-14,2026-10-13,Nakuru,JKUAT
Grace Njeri,Female,Withdrawn,Psychology,2021-03-02,,Meru,Kenyatta University
Joseph Njeri,Male,Enrolled,Education,2022-05-22,2027-05-21,Kisumu,Egerton University
Mary Otieno,Female,Enrolled,Education,2024-09-24,2029-09-23,Nakuru,Moi University
Wangari Nyambura,Female,Not Enrolled,Business Administration,2020-04-14,,Kiambu,Kenyatta University
Grace Nyambura,Female,Not Enrolled,Law,2024-07-15,,Mombasa,Egerton University
John Njeri,Male,Withdrawn,Education,2019-02-22,,Nyeri,University of Nairobi
Alice Odhiambo,Female,Withdrawn,Psychology,2020-11-25,,Nakuru,University of Nairobi
Grace Njeri,Female,Withdrawn,Law,2024-08-07,,Kiambu,University of Nairobi
Wangari Mwangi,Female,Withdrawn,Business Administration,2019-11-26,,Kisumu,Moi University
Peter Achieng,Male,Enrolled,Education,2019-03-01,2024-02-28,Kiambu,Kenyatta University
Grace Njeri,Female,Not Enrolled,Education,2022-01-31,,Mombasa,Kenyatta University
Sarah Karanja,Female,Not Enrolled,Psychology,2022-08-03,,Kisumu,JKUAT
Emily Wambui,Female,Enrolled,Law,2019-11-25,2021-11-24,Kisumu,JKUAT
Alice Mwangi,Female,Enrolled,Education,2023-10-10,2029-10-08,Nairobi,JKUAT
Grace Odhiambo,Female,Withdrawn,Psychology,2023-01-17,,Mombasa,University of Nairobi
Elizabeth Mwangi,Female,Enrolled,Law,2021-07-18,2023-07-18,Nyeri,University of Nairobi
Michael Njeri,Male,Withdrawn,Psychology,2020-12-20,,Kiambu,Egerton University
Mary Otieno,Female,Enrolled,Psychology,2021-04-01,2027-03-31,Nyeri,Moi University
Peter Mwangi,Male,Not Enrolled,Business Administration,2024-12-04,,Machakos,JKUAT
Luke Njeri,Male,Not Enrolled,Computer Science,2021-05-07,,Nakuru,Egerton University
Daniel Achieng,Male,Enrolled,Psychology,2018-01-26,2021-01-25,Nyeri,Egerton University
Esther Odhiambo,Female,Not Enrolled,Mechanical Engineering,2019-05-22,,Nakuru,JKUAT
Grace Njeri,Female,Not Enrolled,Psychology,2020-09-30,,Nairobi,JKUAT
Wangari Achieng,Female,Withdrawn,Education,2022-05-27,,Nakuru,Kenyatta University
Esther Wambui,Female,Not Enrolled,Nursing,2020-08-20,,Kiambu,Moi University
Elizabeth Odhiambo,Female,Not Enrolled,Education,2018-12-03,,Meru,Moi University
Joseph Otieno,Male,Withdrawn,Business Administration,2021-06-01,,Kiambu,Moi University
Samuel Otieno,Male,Not Enrolled,Business Administration,2020-09-28,,Kiambu,JKUAT
Lucy Njeri,Female,Enrolled,Business Administration,2023-12-15,2025-12-14,Nyeri,University of Nairobi
Richard Kariuki,Male,Not Enrolled,Business Administration,2020-03-11,,Nakuru,JKUAT
Daniel Odhiambo,Male,Withdrawn,Education,2020-07-11,,Nakuru,University of Nairobi
Peter Achieng,Male,Withdrawn,Psychology,2021-05-05,,Meru,Egerton University
Daniel Wambui,Male,Withdrawn,Law,2018-12-24,,Machakos,Moi University
Mary Wambui,Female,Not Enrolled,Computer Science,2020-03-03,,Machakos,Egerton University
Emily Karanja,Female,Withdrawn,Business Administration,2022-10-22,,Meru,Kenyatta University
Richard Nyambura,Male,Not Enrolled,Nursing,2018-05-22,,Machakos,JKUAT
Michael Mwangi,Male,Enrolled,Law,2021-11-04,2025-11-03,Meru,University of Nairobi
Peter Otieno,Male,Enrolled,Computer Science,2021-05-15,2024-05-14,Nairobi,JKUAT
Sarah Achieng,Female,Enrolled,Mechanical Engineering,2021-11-20,2027-11-19,Kiambu,JKUAT
Grace Achieng,Female,Enrolled,Computer Science,2022-02-24,2023-02-24,Nyeri,Kenyatta University
Joseph Karanja,Male,Not Enrolled,Business Administration,2019-05-16,,Nakuru,JKUAT
James Karanja,Male,Withdrawn,Business Administration,2022-06-01,,Machakos,Kenyatta University
Michael Wambui,Male,Enrolled,Education,2020-08-18,2024-08-17,Mombasa,Kenyatta University
Joseph Njeri,Male,Not Enrolled,Law,2019-07-26,,Mombasa,JKUAT
Richard Wambui,Male,Enrolled,Psychology,2019-07-03,2020-07-02,Mombasa,Kenyatta University
Alice Otieno,Female,Enrolled,Mechanical Engineering,2024-12-16,2030-12-15,Mombasa,University of Nairobi
Luke Achieng,Male,Withdrawn,Psychology,2023-02-05,,Nakuru,Kenyatta University
David Kariuki,Male,Not Enrolled,Mechanical Engineering,2022-03-31,,Nakuru,Egerton University
Alice Mwangi,Female,Withdrawn,Computer Science,2023-03-06,,Machakos,JKUAT
Wangari Wambui,Female,Withdrawn,Mechanical Engineering,2019-10-02,,Kiambu,JKUAT
Elizabeth Otieno,Female,Withdrawn,Psychology,2023-10-14,,Mombasa,Moi University
Esther Nyambura,Female,Not Enrolled,Education,2019-10-07,,Nyeri,Egerton University
Michael Karanja,Male,Not Enrolled,Law,2020-01-24,,Kiambu,JKUAT
Jane Otieno,Female,Not Enrolled,Nursing,2023-05-01,,Nairobi,Moi University
Jane Karanja,Female,Withdrawn,Business Administration,2024-04-29,,Machakos,University of Nairobi
Sarah Kariuki,Female,Not Enrolled,Psychology,2024-06-22,,Meru,Moi University
Michael Nyambura,Male,Enrolled,Business Administration,2018-04-08,2021-04-07,Kisumu,Egerton University
Mary Karanja,Female,Withdrawn,Business Administration,2019-06-14,,Nakuru,Egerton University
David Karanja,Male,Not Enrolled,Business Administration,2021-06-20,,Nakuru,University of Nairobi
Samuel Wambui,Male,Withdrawn,Mechanical Engineering,2020-09-11,,Mombasa,University of Nairobi
Daniel Nyambura,Male,Withdrawn,Computer Science,2018-02-04,,Meru,Kenyatta University
Esther Njeri,Female,Not Enrolled,Mechanical Engineering,2018-03-22,,Nairobi,JKUAT
Mary Mwangi,Female,Enrolled,Psychology,2023-11-17,2026-11-16,Kisumu,Moi University
Jane Odhiambo,Female,Not Enrolled,Law,2022-10-22,,Machakos,Moi University
John Achieng,Male,Not Enrolled,Business Administration,2023-07-04,,Mombasa,JKUAT
Samuel Kariuki,Male,Withdrawn,Mechanical Engineering,2019-02-18,,Meru,University of Nairobi
Grace Njeri,Female,Enrolled,Education,2023-04-02,2025-04-01,Machakos,Moi University
Joseph Achieng,Male,Enrolled,Mechanical Engineering,2018-04-15,2023-04-14,Nakuru,University of Nairobi
John Odhiambo,Male,Not Enrolled,Mechanical Engineering,2022-04-12,,Kisumu,Kenyatta University
Richard Odhiambo,Male,Enrolled,Education,2018-07-27,2019-07-27,Mombasa,Egerton University
John Wambui,Male,Not Enrolled,Psychology,2024-02-20,,Meru,Egerton University
Joseph Kariuki,Male,Enrolled,Education,2022-11-24,2025-11-23,Kiambu,Egerton University
Esther Karanja,Female,Withdrawn,Education,2024-06-01,,Nairobi,Moi University
Wangari Otieno,Female,Enrolled,Mechanical Engineering,2020-10-26,2026-10-25,Kisumu,Egerton University
Emily Kariuki,Female,Enrolled,Nursing,2024-07-06,2029-07-05,Nairobi,University of Nairobi
Daniel Otieno,Male,Enrolled,Nursing,2021-07-31,2026-07-30,Nakuru,University of Nairobi
James Njeri,Male,Enrolled,Psychology,2018-07-14,2021-07-13,Machakos,University of Nairobi
Alice Karanja,Female,Enrolled,Mechanical Engineering,2020-11-03,2026-11-02,Mombasa,University of Nairobi
Wangari Njeri,Female,Not Enrolled,Psychology,2020-04-24,,Kisumu,University of Nairobi
Joseph Wambui,Male,Not Enrolled,Law,2018-02-19,,Nairobi,Egerton University
Samuel Otieno,Male,Not Enrolled,Business Administration,2023-01-27,,Kiambu,JKUAT
Alice Karanja,Female,Not Enrolled,Mechanical Engineering,2023-03-24,,Machakos,JKUAT
John Achieng,Male,Withdrawn,Nursing,2019-05-30,,Nairobi,Egerton University
